Nome;Latitude;Longitude
Oficina Alpha 2;-23,2819147;-45,9545755
Alternativa Centro Automotivo;-18,9807914;-49,4598512
Funilaria E Pintura Nova Conquista;-23,4706665;-47,4911894
Funicar Funilaria E Pintura Automotiva;-12,1265651;-45,014957
Auto Clean Reparação Automotiva;-20,2167879;-40,2640677
In Beleze Auto Center;-31,7472824;-52,3402101
Precision;-22,7652569;-47,3588774
Club Car;-23,5649944;-46,6164556
Taquauto Barra;-22,9321067;-43,381948
Oficina Maretti;-21,7996913;-46,563531
Conde Funilaria E Pintura Conde S/c Ltda;-23,5955022;-46,5958991
Oficina Coronato;-23,5161877;-46,6906064
Prest Service Auto Car;-7,9951361;-34,8550012
Automais Reparação Automotiva;-21,7373398;-43,4090959
Fastcar Auto Center;-10,9525381;-37,0721377
Reinacar - Funilaria E Pintura;-23,6776752;-46,4572775
Cwb Funilaria E Pintura;-25,5673041;-48,5704026
Rvca;-7,2066295;-39,3204619
Ribeiro Renovadora De Veiculos;-23,5649944;-46,6164556
Destack Car Pintura Automotiva;-14,8582131;-40,855022
Squadra Serviços Automotivos;-23,5531582;-46,6013508
Soberano Funilaria & Pintura;-23,5007788;-46,4262672
Bosch Car Service - Mecar Peças E Serviços;-25,3836596;-51,452781
Renovo Funilaria Eireli;-23,3886573;-51,9192836
Formighieri Restauração De Veículos;-26,2234497;-52,6698786
Vitrificar;-10,0230963;-67,7828974
Auto Mecânica Andradas;-19,9179267;-43,9195321
Funilaria E Pintura Pinheiros;-21,5816863;-45,4349486
3a Funilaria E Pintura;-22,3835722;-47,5504097
Lanternagem E Pintura Bela Vista;-15,8874938;-52,270169
Dr Carro Centro Automotivo;-3,6825325;-40,3544673
Roliscar Centro Automotivo;-23,6247291;-46,5936908
Dauto Lanternagem E Pintura Taguatinga;-15,8682243;-48,0345035
Gazzani Funilaria E Pintura;-23,6426263;-46,4923675
Funilaria E Pintura Do Fabinho;-23,2939509;-50,0774019
Auto Lapida;-30,0564726;-51,1906045
R1 Lanternagem & Pintura;-16,0753576;-47,9860661
Servicar Centro Automotivo;-15,8699635;-47,9618597
Motriz Automotive;-12,9695254;-38,4260775
Maranello Funilaria E Pintura;-18,8966024;-48,2854424
Alphafix;-23,1437657;-47,2379852
Oficina Carlin;-5,5237579;-47,4762224
Solicar;-23,5761294;-46,4444948
Stopcar Centro De Funilaria E Pintura Automotiva;-18,3973479;-49,222517
Maclaren Reparacoes Automotivas;-22,9236261;-47,0933619
Clinicar - Estética Automotiva;-32,0358529;-52,1065805
Edinho Funilaria E Pintura;-20,4324593;-49,991341
Papa Centro Automotivo;-22,7535951;-47,3222602
Jotta Car Funilaria E Pintura;-15,5961309;-56,0746549
Fênix Car - Centro Automotivo De Reparação;-21,1779142;-47,7975138
Personal Car Aguiar Serviços Automotivos;-27,586685;-48,590196
Funilaria E Pintura Pereira Zé Carlos;-20,7383035;-46,6042428
Isidro Comercio Fun E Pint Ltda;-23,5587651;-46,5818394
Umucar Funilaria E Pintura;-23,7698509;-53,3162439
Sp New Fenix;-23,5135054;-46,7416536
Soberanocar;-23,4442681;-46,7514763
Francis Funilaria E Pintura;-18,2460047;-43,6026044
Vm Funilaria E Pintura;-16,3111464;-48,9352552
